Country,City,Latitude,Longitude
ar,ushuaia,-54.8,-68.3
cl,punta arenas,-53.15,-70.916667
ar,rio gallegos,-51.622613,-69.218127
nz,bluff,-46.6,168.333333
nz,invercargill,-46.4,168.35
nz,riverton,-46.35,168.016667
nz,wallacetown,-46.333333,168.266667
nz,dunedin,-45.866667,170.5
nz,outram,-45.866667,170.233333
nz,ranfurly,-45.133333,170.1
nz,wanaka,-44.7,169.15
nz,christchurch,-43.533333,172.633333
nz,darfield,-43.483333,172.116667
nz,greymouth,-42.466667,171.2
cl,castro,-42.463611,-73.808333
nz,dobson,-42.45,171.3
nz,reefton,-42.116667,171.866667
cl,ancud,-41.869722,-73.820278
ar,san carlos de bariloche,-41.140293,-71.301369
nz,porirua,-41.133333,174.85
nz,riwaka,-41.083333,173
au,burnie,-41.05584,145.903748
nz,masterton,-40.959722,175.6575
cl,purranque,-40.916667,-73.166667
cl,loncoche,-39.366667,-72.633333
cl,villarrica,-39.266667,-72.216667
nz,okato,-39.2,173.883333
nz,new plymouth,-39.066667,174.083333
nz,wairoa,-39.033333,177.366667
ar,general roca,-39.02797,-67.573711
nz,turangi,-39,175.933333
cl,pitrufquen,-38.983333,-72.65
ar,neuquen,-38.951606,-68.059102
cl,freire,-38.95,-72.633333
nz,waitara,-38.925,174.25
cl,cabrero,-37.033333,-72.4
cl,coronel,-37.016667,-73.133333
nz,tairua,-37.016667,175.85
cl,chiguayante,-36.916667,-73.016667
ar,olavarria,-36.892715,-60.32254
nz,auckland,-36.866667,174.766667
au,murray bridge,-35.119862,139.273453
cl,molina,-35.116667,-71.283333
nz,kaeo,-35.1,173.783333
au,mount barker,-35.066667,138.866667
au,albany,-35.003101,117.865952
cl,curico,-34.983333,-71.233333
ar,san vicente,-34.982645,-58.376169
za,east london,-33.011051,27.910049
ar,gualeguaychu,-33.009375,-58.51722
cl,vina del mar,-33.008056,-71.519722
cl,limache,-32.983333,-71.283333
ar,rosario,-32.946818,-60.639317
au,newcastle,-32.927792,151.784485
ar,rafaela,-31.250332,-61.486696
au,tamworth,-31.090481,150.929047
au,kempsey,-31.078979,152.830933
za,burgersdorp,-30.997659,26.328623
br,dom pedrito,-30.983333,-54.666667
br,sombrio,-29.116667,-49.666667
br,tupancireta,-29.083333,-53.85
za,greytown,-29.064155,30.592786
za,ritchie,-29.038006,24.60278
br,flores da cunha,-29.0287,-51.1822
br,ouro fino,-28.983333,-52.816667
br,sao marcos,-28.966667,-51.066667
py,capitan meza,-27.016667,-55.566667
za,vredefort,-27.008048,27.364601
za,piet retief,-27.007063,30.813231
br,videira,-27,-51.133333
py,nacunday,-26.016667,-54.766667
py,villa oliva,-26.016667,-57.883333
py,ybycui,-26.016667,-57.05
za,tembisa,-25.996363,28.226802
br,coronel vivida,-25.966667,-52.566667
mg,ampanihy,-24.7,44.75
br,peruibe,-24.316667,-47
br,sertanopolis,-23.066667,-51.033333
bw,mahalapye,-23.0666667,26.8333333
br,cerqueira cesar,-23.05,-49.166667
br,ipaussu,-23.05,-49.616667
br,itapora,-22.016667,-54.9
